site_id,lon,lat,site_name
1,-24.5625010172526,82.5458343505859,weighted_sample
2,-22.6625010172526,82.5375010172526,weighted_sample
3,-27.170834350586,82.4458343505859,weighted_sample
4,-26.2791676839193,82.4291676839193,weighted_sample
5,-80.8625010172526,82.1791676839193,weighted_sample
6,-66.8375010172526,82.0958343505859,weighted_sample
7,-52.9791676839193,81.8125010172526,weighted_sample
8,-70.1625010172526,81.6875010172526,weighted_sample
9,-58.7041676839193,81.6541676839193,weighted_sample
10,-68.6291676839193,81.5791676839193,weighted_sample
11,-69.2125010172526,81.4375010172526,weighted_sample
12,-65.4041676839193,81.4041676839193,weighted_sample
13,-87.6125010172526,81.2791676839193,weighted_sample
14,-86.1875010172526,81.2125010172526,weighted_sample
15,-89.9125010172526,81.0875010172526,weighted_sample
16,-85.8791676839193,81.0375010172526,weighted_sample
17,-79.9041676839193,81.0125010172526,weighted_sample
18,-93.2875010172526,80.9291676839193,weighted_sample
19,-92.6375010172526,80.9291676839193,weighted_sample
20,-88.2458343505859,80.9291676839193,weighted_sample
21,-86.3708343505859,80.8958343505859,weighted_sample
22,-88.3875010172526,80.8625010172526,weighted_sample
23,-85.2041676839193,80.7791676839193,weighted_sample
24,-82.2625010172526,80.7625010172526,weighted_sample
25,-94.1291676839193,80.7291676839193,weighted_sample
26,-91.8375010172526,80.6375010172526,weighted_sample
27,-78.5958343505859,80.6125010172526,weighted_sample
28,-92.5125010172526,80.5708343505859,weighted_sample
29,-85.3708343505859,80.5208343505859,weighted_sample
30,-91.3875010172526,80.445834350586,weighted_sample
31,-23.9958343505859,80.4041676839193,weighted_sample
32,-90.3708343505859,80.3458343505859,weighted_sample
33,-81.1541676839193,80.2875010172526,weighted_sample
34,-62.320834350586,80.1625010172526,weighted_sample
35,-89.4208343505859,80.0875010172526,weighted_sample
36,-88.9541676839193,80.0041676839193,weighted_sample
37,-89.5541676839193,79.8458343505859,weighted_sample
38,-83.0791676839193,79.8125010172526,weighted_sample
39,-84.5625010172526,79.7875010172526,weighted_sample
40,-89.1791676839193,79.7791676839193,weighted_sample
41,-81.6041676839193,79.5541676839193,weighted_sample
42,-88.745834350586,79.5291676839193,weighted_sample
43,-75.0208343505859,79.5208343505859,weighted_sample
44,-86.3291676839193,79.5125010172526,weighted_sample
45,-84.7041676839193,79.5125010172526,weighted_sample
46,-94.4708343505859,79.4541676839193,weighted_sample
47,-85.3708343505859,79.4291676839193,weighted_sample
48,-90.8875010172526,79.4041676839193,weighted_sample
