"site","pft"
178,"semiarid.grassland_HPDA"
179,"semiarid.grassland_HPDA"
180,"semiarid.grassland_HPDA"
181,"semiarid.grassland_HPDA"
182,"semiarid.grassland_HPDA"
183,"semiarid.grassland_HPDA"
184,"semiarid.grassland_HPDA"
185,"semiarid.grassland_HPDA"
186,"semiarid.grassland_HPDA"
187,"semiarid.grassland_HPDA"
188,"semiarid.grassland_HPDA"
189,"semiarid.grassland_HPDA"
190,"semiarid.grassland_HPDA"
191,"semiarid.grassland_HPDA"
192,"semiarid.grassland_HPDA"
193,"semiarid.grassland_HPDA"
194,"semiarid.grassland_HPDA"
195,"semiarid.grassland_HPDA"
196,"semiarid.grassland_HPDA"
197,"semiarid.grassland_HPDA"
198,"semiarid.grassland_HPDA"
199,"semiarid.grassland_HPDA"
200,"semiarid.grassland_HPDA"
201,"semiarid.grassland_HPDA"
202,"semiarid.grassland_HPDA"
203,"semiarid.grassland_HPDA"
204,"semiarid.grassland_HPDA"
205,"semiarid.grassland_HPDA"
206,"semiarid.grassland_HPDA"
207,"semiarid.grassland_HPDA"
208,"semiarid.grassland_HPDA"
209,"semiarid.grassland_HPDA"
210,"semiarid.grassland_HPDA"
211,"semiarid.grassland_HPDA"
212,"semiarid.grassland_HPDA"
213,"semiarid.grassland_HPDA"
214,"semiarid.grassland_HPDA"
215,"semiarid.grassland_HPDA"
216,"semiarid.grassland_HPDA"
217,"semiarid.grassland_HPDA"
218,"semiarid.grassland_HPDA"
219,"semiarid.grassland_HPDA"
220,"semiarid.grassland_HPDA"
221,"semiarid.grassland_HPDA"
222,"semiarid.grassland_HPDA"
223,"semiarid.grassland_HPDA"
224,"semiarid.grassland_HPDA"
225,"semiarid.grassland_HPDA"
226,"semiarid.grassland_HPDA"
227,"semiarid.grassland_HPDA"
228,"semiarid.grassland_HPDA"
229,"semiarid.grassland_HPDA"
230,"semiarid.grassland_HPDA"
231,"semiarid.grassland_HPDA"
232,"semiarid.grassland_HPDA"
233,"semiarid.grassland_HPDA"
234,"semiarid.grassland_HPDA"
235,"semiarid.grassland_HPDA"
236,"semiarid.grassland_HPDA"
237,"semiarid.grassland_HPDA"
238,"semiarid.grassland_HPDA"
239,"semiarid.grassland_HPDA"
240,"semiarid.grassland_HPDA"
241,"semiarid.grassland_HPDA"
242,"semiarid.grassland_HPDA"
243,"semiarid.grassland_HPDA"
244,"semiarid.grassland_HPDA"
245,"semiarid.grassland_HPDA"
246,"semiarid.grassland_HPDA"
247,"semiarid.grassland_HPDA"
248,"semiarid.grassland_HPDA"
249,"semiarid.grassland_HPDA"
250,"semiarid.grassland_HPDA"
251,"semiarid.grassland_HPDA"
252,"semiarid.grassland_HPDA"
253,"semiarid.grassland_HPDA"
254,"semiarid.grassland_HPDA"
255,"semiarid.grassland_HPDA"
256,"semiarid.grassland_HPDA"
257,"semiarid.grassland_HPDA"
258,"semiarid.grassland_HPDA"
259,"semiarid.grassland_HPDA"
260,"semiarid.grassland_HPDA"
261,"semiarid.grassland_HPDA"
262,"semiarid.grassland_HPDA"
263,"semiarid.grassland_HPDA"
264,"semiarid.grassland_HPDA"
265,"semiarid.grassland_HPDA"
266,"semiarid.grassland_HPDA"
267,"semiarid.grassland_HPDA"
268,"semiarid.grassland_HPDA"
269,"semiarid.grassland_HPDA"
270,"semiarid.grassland_HPDA"
271,"semiarid.grassland_HPDA"
272,"semiarid.grassland_HPDA"
273,"semiarid.grassland_HPDA"
274,"semiarid.grassland_HPDA"
275,"semiarid.grassland_HPDA"
276,"semiarid.grassland_HPDA"
277,"semiarid.grassland_HPDA"
278,"semiarid.grassland_HPDA"
279,"semiarid.grassland_HPDA"
280,"semiarid.grassland_HPDA"
281,"semiarid.grassland_HPDA"
282,"semiarid.grassland_HPDA"
283,"semiarid.grassland_HPDA"
284,"semiarid.grassland_HPDA"
285,"semiarid.grassland_HPDA"
286,"semiarid.grassland_HPDA"
287,"semiarid.grassland_HPDA"
288,"semiarid.grassland_HPDA"
289,"semiarid.grassland_HPDA"
290,"semiarid.grassland_HPDA"
291,"semiarid.grassland_HPDA"
292,"semiarid.grassland_HPDA"
293,"semiarid.grassland_HPDA"
294,"semiarid.grassland_HPDA"
295,"semiarid.grassland_HPDA"
296,"semiarid.grassland_HPDA"
297,"semiarid.grassland_HPDA"
298,"semiarid.grassland_HPDA"
299,"semiarid.grassland_HPDA"
300,"semiarid.grassland_HPDA"
301,"semiarid.grassland_HPDA"
302,"semiarid.grassland_HPDA"
303,"semiarid.grassland_HPDA"
304,"semiarid.grassland_HPDA"
305,"semiarid.grassland_HPDA"
306,"semiarid.grassland_HPDA"
307,"semiarid.grassland_HPDA"
308,"semiarid.grassland_HPDA"
309,"semiarid.grassland_HPDA"
310,"semiarid.grassland_HPDA"
311,"semiarid.grassland_HPDA"
312,"semiarid.grassland_HPDA"
313,"semiarid.grassland_HPDA"
314,"semiarid.grassland_HPDA"
315,"semiarid.grassland_HPDA"
316,"semiarid.grassland_HPDA"
317,"semiarid.grassland_HPDA"
318,"semiarid.grassland_HPDA"
