index,final_pft_direct,final_source_type,source_file,pam_used_for_clustering,pam_k,pam_cluster,subpft_name,dbf_original_pam_cluster,cropland_final_group,final_pft,final_pft_assignment_method,final_pft_source_final,nearest_ecological_distance,second_nearest_final_pft,second_nearest_ecological_distance,distance_margin,n_vars_used_in_distance
4059,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4060,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4061,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4062,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4063,CroplandPool__Cereal_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Cereal Croplands,CroplandPool__Cereal_Croplands,,Cereal Croplands,CroplandPool__Cereal_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
4064,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4065,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4066,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4067,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4068,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4069,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4070,Deciduous_Broadleaf_Forest__P1_P2_P3,pam_gower_site_table,Deciduous_Broadleaf_Forest_k5_site_subpft_table.csv,TRUE,5,P2,Deciduous_Broadleaf_Forest__P2,P2,,Deciduous_Broadleaf_Forest__P1_P2_P3,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4071,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4072,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4073,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4074,CroplandPool__Cereal_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Cereal Croplands,CroplandPool__Cereal_Croplands,,Cereal Croplands,CroplandPool__Cereal_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
4075,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4076,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4077,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4078,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4079,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4080,Deciduous_Broadleaf_Forest__P1_P2_P3,pam_gower_site_table,Deciduous_Broadleaf_Forest_k5_site_subpft_table.csv,TRUE,5,P2,Deciduous_Broadleaf_Forest__P2,P2,,Deciduous_Broadleaf_Forest__P1_P2_P3,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4081,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4082,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4083,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4084,CroplandPool__Broad_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Broad Croplands,CroplandPool__Broad_Croplands,,Broad Croplands,CroplandPool__Broad_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
4085,Mixed_Forest__P1,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P1,Mixed_Forest__P1,,,Mixed_Forest__P1,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4086,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
4087,CroplandPool__Cereal_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Cereal Croplands,CroplandPool__Cereal_Croplands,,Cereal Croplands,CroplandPool__Cereal_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
4088,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
