index,lat,lon,LC_Type1,LC_Type1_name,KGC,BIOME_NAME,VCF_tree,LAI_max,NDVI_cv,EVI_min,GSL_median,SWIR,Fire_frequency,MAT,T_warmest_q,MAP,P_seasonality,MaxCWD,Soil_AWC,TWI,PH,Sand,agb,SOC,N,twi_was_na,MODIS_LC_year,LC_Type3,LC_Prob3,start_date,end_date,BIOME_NUM,REALM,ECO_ID,ECO_NAME,NNH,NNH_NAME,LC_source_hdf,LC2,LC2_name,LC2_group,LC_Type1_name_original
3453,53.4208343505859,-67.1708343505859,9,Savannas,Dfc,Boreal Forests/Taiga,34.3571428571429,0.135,1.04949987470157,-2.62e-06,175,1.2155e-05,0,-4.74566650390625,10.8826665878296,850,33.8238182067871,10.8692307692308,0.1895,8.20682716369629,0.261538445949554,0.38775509595871,0.0411560237407684,0.0532829836010933,0.293286234140396,FALSE,2019,4,92,2012-01-01,2024-12-31,6,Nearctic,374,Eastern Canadian Shield taiga,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,1,Evergreen Needleleaf Trees,,Savannas
3454,53.4125010172526,-96.2541676839193,8,Woody Savannas,Dfb,Boreal Forests/Taiga,43.3846153846154,0.19,0.837610622308176,-2.06e-06,287,7.05e-06,0,-0.848833203315735,15.7133331298828,534,51.1367530822754,47.7076923076923,0.175,6.09228897094727,0.415384590625763,0.489795923233032,0.086637943983078,0.344870984554291,0.137809187173843,FALSE,2019,4,86,2012-01-01,2024-12-31,6,Nearctic,377,Midwest Canadian Shield forests,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,1,Evergreen Needleleaf Trees,,Woody Savannas
3455,53.3791676839193,-104.987501017253,8,Woody Savannas,Dfb,Boreal Forests/Taiga,45.2142857142857,0.7,0.649235458303693,3.64e-06,239,1.557e-05,0,0.53166663646698,16.1406669616699,435,60.9291687011719,68.5461538461539,0.1795,5.75078058242798,0.461538463830948,0.459183663129807,0.097528375685215,0.0849590972065926,0.0636042430996895,FALSE,2019,4,94,2012-01-01,2024-12-31,6,Nearctic,376,Mid-Canada Boreal Plains forests,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,1,Evergreen Needleleaf Trees,,Woody Savannas
3456,53.3791676839193,-75.6375010172526,9,Savannas,Dfc,Boreal Forests/Taiga,23.3571428571429,0.145,0.984273763988108,-4.35e-06,191,1.787e-05,0.0769230769230769,-2.11649990081787,13.4993333816528,769,43.5348205566406,39.1076923076923,0.169,2.57580065727234,0.292307704687119,0.642857134342194,0.023119555786252,0.0857981964945793,0.296819776296616,FALSE,2019,4,89,2012-01-01,2024-12-31,6,Nearctic,374,Eastern Canadian Shield taiga,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,4,Deciduous Broadleaf Trees,,Savannas
3457,53.3708343505859,-102.612501017253,5,Mixed Forest,Dfb,Boreal Forests/Taiga,49.2857142857143,0.665,0.631260187230021,6.26e-06,288,1.5665e-05,0.0769230769230769,-0.215833365917206,15.4226665496826,481,56.538631439209,46.4846153846154,0.1845,2.97011041641235,0.399999976158142,0.438775509595871,0.148000672459602,0.0765680745244026,0.0742049440741539,FALSE,2019,6,97,2012-01-01,2024-12-31,6,Nearctic,376,Mid-Canada Boreal Plains forests,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,4,Deciduous Broadleaf Trees,,
3458,53.3625010172526,-77.6625010172526,9,Savannas,Dfc,Boreal Forests/Taiga,28,0.22,0.873931506942485,-1.51e-06,207,1.621e-05,0,-1.91100001335144,13.684666633606,690,47.5765647888184,44.1,0.185,5.18228244781494,0.338461518287659,0.428571432828903,0.0500560663640499,0.0719530135393143,0.325088351964951,FALSE,2019,4,89,2012-01-01,2024-12-31,6,Nearctic,374,Eastern Canadian Shield taiga,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,4,Deciduous Broadleaf Trees,,Savannas
3459,53.3541676839193,-61.9708343505859,9,Savannas,Dfc,Boreal Forests/Taiga,22.7857142857143,0.12,1.15655279794087,-5.75e-06,175,1.181e-05,0,-2.95399975776672,11.267333984375,967,22.1341495513916,11.4384615384615,0.179,6.38025379180908,0.292307704687119,0.530612230300903,0.0579357407987118,0.0625131130218506,0.279151946306229,FALSE,2019,4,96,2012-01-01,2024-12-31,6,Nearctic,374,Eastern Canadian Shield taiga,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,1,Evergreen Needleleaf Trees,,Savannas
3460,53.3458343505859,-125.270834350586,10,Grasslands,Dfc,Temperate Conifer Forests,20.1428571428571,0.185,0.966581097026536,-4.81e-06,191,2.407e-05,0.153846153846154,1.05050003528595,10.543999671936,531,28.2402458190918,53.7153846153846,0.1925,1.19541084766388,0.338461518287659,0.357142865657806,0.205420434474945,0.11474721878767,0.275618374347687,FALSE,2019,1,98,2012-01-01,2024-12-31,5,Nearctic,355,Fraser Plateau and Basin conifer forests,3,Nature Could Recover,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,1,Evergreen Needleleaf Trees,,Grasslands
3461,53.3458343505859,-108.512501017253,12,Croplands,Dfb,Boreal Forests/Taiga,3.71428571428571,0.575,1.1489700987466,-5.23e-06,207,2.115e-05,0,0.64849990606308,15.5153331756592,412,57.7541770935059,77.9461538461539,0.182,4.91978788375855,0.507692337036133,0.367346942424774,0.0145368175581098,0.0941892117261887,0.137809187173843,FALSE,2019,1,99,2012-01-01,2024-12-31,6,Nearctic,376,Mid-Canada Boreal Plains forests,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,7,Cereal Croplands,Cereal Croplands,
3462,53.3458343505859,-78.3375010172526,9,Savannas,Dsc,Boreal Forests/Taiga,27.3571428571429,0.15,0.831889165037133,4e-08,207,1.653e-05,0,-2.26783323287964,13.0740003585815,643,48.0320167541504,40.4615384615385,0.1805,4.2987585067749,0.338461518287659,0.38775509595871,0.0544756352901459,0.0675477162003517,0.296819776296616,FALSE,2019,4,98,2012-01-01,2024-12-31,6,Nearctic,374,Eastern Canadian Shield taiga,2,Nature Could Reach Half Protected,MCD12Q1.A2019001.h00v08.061.2022169155019.hdf,1,Evergreen Needleleaf Trees,,Savannas
